"","Name","URL"
"134","Section Amansites","http://ifpni.org/infragenus.htm?id=AAFF91F4-F8D0-4A7D-878A-6EB6D0C35E6C"
"135","Section Caulerpites","http://ifpni.org/infragenus.htm?id=79061E51-1BAC-4BEF-9172-E9099BE8D4BF"
"136","Section Cladorytes","http://ifpni.org/infragenus.htm?id=C97E8A9B-8127-6C30-F81E-2E66EB69E00B"
"137","Section Delesserites","http://ifpni.org/infragenus.htm?id=07F3D953-D762-45FB-A042-A8034BC52286"
"138","Section Dictyotites","http://ifpni.org/infragenus.htm?id=9A12D16C-A918-4B6B-ADD6-463DA2D73903"
"139","Section Encoelites","http://ifpni.org/infragenus.htm?id=78D98616-428C-4FF6-B6F8-BD85D307C377"
"140","Section Fucites","http://ifpni.org/infragenus.htm?id=779F9318-9A6A-4422-AAC5-69525EAD7C97"
"141","Section Gigartinites","http://ifpni.org/infragenus.htm?id=813FD7BE-6402-4A86-93EB-E87AC52295FD"
"142","Section Laminarites","http://ifpni.org/infragenus.htm?id=452C2F9A-A997-440D-BF20-98473FEC3742"
"143","Section Sargassites","http://ifpni.org/infragenus.htm?id=B4AA34FA-46D6-4430-8731-355676E90A6A"
"144","Subgenus Didymosorus","http://ifpni.org/infragenus.htm?id=84E8B58A-6968-4375-9559-8E9BEEA90DA0"
"145","Subgenus Laticrassisporis","http://ifpni.org/infragenus.htm?id=105073DF-F043-F314-669F-499DD0EA418D"
"146","Subgenus Peregrinisporis","http://ifpni.org/infragenus.htm?id=3DD3CF85-624D-DF3A-6A4A-A2D75B42401A"
"147","Subgenus Radiatisporis","http://ifpni.org/infragenus.htm?id=538B04AC-A91F-005A-4BF8-A033EBD1AD45"
"148","Subgenus Toridistalisporis","http://ifpni.org/infragenus.htm?id=EEA14A7A-56D4-F256-6BBE-DEDBA6149437"
"149","Subgenus Triplexisporis","http://ifpni.org/infragenus.htm?id=D20F3A29-8C84-52C1-4F02-4BF92727E0E2"
"150","Section Didymosorus","http://ifpni.org/infragenus.htm?id=3E1B035E-8901-88BE-0931-339B421783EC"
"151","Section Eugleichenia","http://ifpni.org/infragenus.htm?id=4DCC4DA9-8B66-9950-6035-76D985E7252D"
"152","Section Mertensia","http://ifpni.org/infragenus.htm?id=091F95E5-3B87-893E-A4BF-FBA76478F746"
"153","Unranked Desmophlebis","http://ifpni.org/infragenus.htm?id=34705D8B-888A-DFF3-2A74-42A62B3724D8"
"154","Section Bleasdalea","http://ifpni.org/infragenus.htm?id=85B49D7C-81AD-4193-966B-525A210322E3"
"155","Subgenus Protorhipis","http://ifpni.org/infragenus.htm?id=C92580E6-2180-4BD8-9F6E-E308E57765F0"
"156","Section Incertoidae","http://ifpni.org/infragenus.htm?id=420EECEB-2DA1-4BDF-A135-9E28F9296EB4"
"157","Section Magnoidae","http://ifpni.org/infragenus.htm?id=8851BEF4-A46F-4EB5-8636-689A0AF57471"
"158","Unranked Eujuglandites","http://ifpni.org/infragenus.htm?id=00CC3172-FC7D-431C-844E-A05B4CA83E1D"
"159","Unranked Hicorites","http://ifpni.org/infragenus.htm?id=3B85ECE7-075F-4AF4-A6F2-1EF9D2643190"
"160","Section Hicorites","http://ifpni.org/infragenus.htm?id=D3A1C00C-CBA9-4887-AA3D-E381E9DE9BD5"
"161","Unranked Oxycedrites","http://ifpni.org/infragenus.htm?id=842249EE-4BBB-4A90-8CBB-5070CA352044"
"162","Unranked Sabinites","http://ifpni.org/infragenus.htm?id=12069A64-2DA2-4FDF-A960-4084285857C1"
"163","Subgenus Maria","http://ifpni.org/infragenus.htm?id=741BA81E-E537-8463-587C-7090C06B3CDE"
"164","Subgenus Neokoretrophyllites","http://ifpni.org/infragenus.htm?id=7F0E23A8-5E86-4D48-8307-A073B165F310"
"165","Series Lagenospermopteris","http://ifpni.org/infragenus.htm?id=663F6F18-CBFC-4D81-80FB-8287B04754CF"
"166","Series Neuropteroidei","http://ifpni.org/infragenus.htm?id=78AD0AFB-9F35-49BC-BBF4-B7465B000190"
"167","Subgenus Perseoxylon","http://ifpni.org/infragenus.htm?id=61F6252E-8A8B-E00B-C695-F816F78377CE"
"168","Unranked Agathophylloideae","http://ifpni.org/infragenus.htm?id=3F7E83BC-026C-2992-4996-00782F5EAE26"
"169","Unranked Aspidiaria","http://ifpni.org/infragenus.htm?id=FA5E216B-759D-0771-1509-53A68E7A54A3"
"170","Unranked Bergeria","http://ifpni.org/infragenus.htm?id=17DDC9BE-47B2-ACAF-ACF3-8FE3A55471B1"
"171","Subgenus Bergeria","http://ifpni.org/infragenus.htm?id=38EC7EE1-05F7-4DF8-2F97-FFF31B54D850"
"172","Subgenus Neolepidodendron","http://ifpni.org/infragenus.htm?id=19DEB57A-550E-991A-A20A-6F18ACEA34BA"
"173","Subgenus Sagenaria","http://ifpni.org/infragenus.htm?id=0D43DA61-6067-45AD-F31D-F73B0EFD3DA1"
"174","Unranked Sagenaria","http://ifpni.org/infragenus.htm?id=93D6EB4F-47F9-5008-AC9F-DD2A7B569C5C"
"175","Subgenus Ulodendron","http://ifpni.org/infragenus.htm?id=D3DB54D1-2DA9-40FE-A5F7-A5AE64D30DBE"
"176","Unranked Eulimnocarpus","http://ifpni.org/infragenus.htm?id=DA84EA1C-7AB2-4B6D-924A-EB009E9FAF6F"
"177","Unranked Limnocarpella","http://ifpni.org/infragenus.htm?id=2293A8D8-EB3F-4EE8-8892-8B34C3807CBF"
"178","Unranked Palaeoruppia","http://ifpni.org/infragenus.htm?id=C2D084BC-A1D7-4422-B4F1-E1E2D5FCE37E"
"179","Subgenus Paralitanaia","http://ifpni.org/infragenus.htm?id=CA8F92D8-C531-DF9E-1862-8C4747088545"
"180","Unranked Lepidotites","http://ifpni.org/infragenus.htm?id=D73C30BF-F07B-1923-2680-83807E28AC9F"
"181","Unranked Pananthites","http://ifpni.org/infragenus.htm?id=7A6F6112-CB02-42D8-1F60-33799BF1A082"
"182","Section Bizonaria","http://ifpni.org/infragenus.htm?id=9FF13555-0F59-411F-BDB3-013E06DD79F5"
"183","Section Microcingulata","http://ifpni.org/infragenus.htm?id=56380F76-8C23-42BF-90B0-00B3C785CD35"
"184","Subgenus Cavernosotriangulatum","http://ifpni.org/infragenus.htm?id=6EBB75A0-3695-2673-DBAA-D7A9AC63DFE9"
"185","Subgenus Laevigatigranulatum","http://ifpni.org/infragenus.htm?id=60B5A310-E37D-8356-9C64-71B5E766370B"
"186","Subgenus Pilosispinulatum","http://ifpni.org/infragenus.htm?id=D74E0449-8F8D-5B51-5594-6C2183CC0C2C"
"187","Unranked Protolygodium","http://ifpni.org/infragenus.htm?id=A5695A23-C49F-444B-DD59-36B6BB0B1CD8"
"188","Subgenus Tuberculatum","http://ifpni.org/infragenus.htm?id=91CC589E-7834-CEB7-22D1-D60B9E5D46A3"
"189","Subgenus Colpoxylon","http://ifpni.org/infragenus.htm?id=9F144DF1-1764-4E7D-9AE0-5DFBB477E883"
"190","Section Metasequoiella","http://ifpni.org/infragenus.htm?id=E3114F21-47FC-4179-9EC0-B852DE6EF50B"
"191","Section Pachyphyllum","http://ifpni.org/infragenus.htm?id=23ABADB1-F59E-80CD-9826-A7DB45F09F12"
"192","Subgenus Eumuensteria","http://ifpni.org/infragenus.htm?id=3C0D12AA-DFED-8A9C-C94E-39406DB2BEE6"
"193","Subgenus Hydrancylus","http://ifpni.org/infragenus.htm?id=40400411-2445-A39E-3D7A-0C56BC9F87E1"
"194","Subgenus Keckia","http://ifpni.org/infragenus.htm?id=A0E51E79-903F-006E-87FE-F80B3400DD51"
"195","Unranked Hypnites","http://ifpni.org/infragenus.htm?id=CB6B0683-837F-03D6-B169-ACDF3C572E9C"
"196","Unranked Sphagnites","http://ifpni.org/infragenus.htm?id=CC53A33F-8F6F-3E30-3F3D-13C40DEB6C85"
"197","Subgenus Sotzkia","http://ifpni.org/infragenus.htm?id=0D1C6288-B5B2-41F1-ACD0-7167E82F9700"
"198","Subgenus Acutopora","http://ifpni.org/infragenus.htm?id=14C569CB-F6EB-4D7B-A3CE-8DF753544B37"
"199","Section Decaisnella","http://ifpni.org/infragenus.htm?id=2B2B47D1-932B-4838-A3DB-8F967F1FDDD8"
"200","Section Herouvalina","http://ifpni.org/infragenus.htm?id=61D12900-EF57-472E-A380-996DFA222D91"
"201","Subgenus Sulcinephropsis","http://ifpni.org/infragenus.htm?id=19B68D1E-A5AC-4F66-92F7-01833B0CDBBC"
"202","Subgenus Euneuropteris","http://ifpni.org/infragenus.htm?id=40F1E89F-21FD-CAFD-988B-A90E39A9A7A1"
"203","Subgenus Megalopteris","http://ifpni.org/infragenus.htm?id=D127F465-AEEE-47BA-8572-2326D107E19C"
"204","Subgenus Neuropteridium","http://ifpni.org/infragenus.htm?id=33DFD869-4939-4107-A510-FBE7E1921BCC"
"205","Unranked Hisingera","http://ifpni.org/infragenus.htm?id=D3586B52-9832-635D-B93D-76B5B695A049"
"206","Subgenus Planinilssonia","http://ifpni.org/infragenus.htm?id=C08B37FF-5985-44A2-9AF6-E7C074C20689"
"207","Subgenus Sibiriophyllum","http://ifpni.org/infragenus.htm?id=86E3408A-2F44-4065-A66F-9DBB2E85A19C"
"208","Subgenus Microstomella","http://ifpni.org/infragenus.htm?id=2FDCDE24-42AA-45A5-9BA1-9F5ACAE65729"
"209","Subgenus Nudospermopteris","http://ifpni.org/infragenus.htm?id=8F63B951-C37D-458A-B8C9-BA2582A75681"
"210","Subgenus Pseudonudospermopteris","http://ifpni.org/infragenus.htm?id=4A002E47-D55F-402B-90A6-B67C5C8C73C5"
"211","Section Nupharella","http://ifpni.org/infragenus.htm?id=826A64D3-B091-47B9-91DA-1FC7FBB97911"
"212","Subgenus Anotopteris","http://ifpni.org/infragenus.htm?id=1E49CFA8-FB44-4964-0D2A-145A5BEAF7EE"
"213","Section Callipterides","http://ifpni.org/infragenus.htm?id=8F955C61-8EC9-1864-902A-44DB11790A13"
"214","Subgenus Callipteridium","http://ifpni.org/infragenus.htm?id=0346D086-FAB7-759D-5877-68D196A17B50"
"215","Subgenus Callipteris","http://ifpni.org/infragenus.htm?id=BCAA13D0-39DF-C70A-CCBF-B6B3DC6E3F8A"
"216","Subgenus Lescuropteris","http://ifpni.org/infragenus.htm?id=2586C7F6-611E-2EF6-2E99-43BF2B1F90EA"
"217","Subgenus Mixoneura","http://ifpni.org/infragenus.htm?id=9CB378E2-15A0-4F84-9AD0-FAE2DA8A3CB5"
"218","Section Xenopterides","http://ifpni.org/infragenus.htm?id=B58D3878-76BD-7AD8-558D-B9CE3C90BFD6"
"219","Subgenus Xenopteris","http://ifpni.org/infragenus.htm?id=5375EEA9-1885-4CD9-9CC5-CE074145F55A"
"220","Subgenus Cyclozamites","http://ifpni.org/infragenus.htm?id=24940734-A631-5754-97FB-9CDE6E502A96"
"221","Subgenus Rhombozamites","http://ifpni.org/infragenus.htm?id=6D240E14-FF2F-1AEA-6619-48A2BD22A6D5"
"222","Section Sphenozamites","http://ifpni.org/infragenus.htm?id=8603E92C-C0C5-CC25-A524-E1D58B65515F"
"223","Subgenus Neuralethopteris","http://ifpni.org/infragenus.htm?id=4051B2D9-0FA4-386E-850F-73C4E1E8A33D"
"224","Subgenus Neurodontopteris","http://ifpni.org/infragenus.htm?id=050A6B6F-33DA-CB6E-1AAE-86F39E126EB8"
